Month,Actual_Return_%,Value
2015-01,31.113990598168527,131113.99059816852
2015-02,31.924583451827353,172971.5859437019
2015-03,33.182473983504124,230367.8374483253
2015-04,34.16364638111152,309069.89080998494
2015-05,35.27304845537499,418088.2631563654
2015-05,47.17850597721783,615336.0593796376
2015-06,36.599294030431565,840544.7130272621
2015-07,38.763349162944245,1166367.9950086875
2015-08,39.187860821724655,1623442.661561832
2015-09,38.08256181524606,2241691.216686193
2015-10,37.95255088193045,3092470.216314786
2015-11,38.75264907908252,4290884.347118398
2015-12,40.76804018950499,6040193.802236807
