Month,Actual_Return_%,Value,Year
2007-02,0.46,3013.8,2007
2007-03,0.46,3027.66,2007
2007-04,0.46,3041.59,2007
2007-05,0.46,3055.58,2007
2007-06,0.46,3069.64,2007
2007-07,0.46,3083.76,2007
2007-08,0.46,3097.94,2007
2007-09,0.46,3112.19,2007
2007-10,0.46,3126.51,2007
2007-11,0.46,3140.89,2007
2007-12,0.46,3155.34,2007
2008-02,-3.08,2907.6,2008
2008-03,-3.08,2818.05,2008
2008-04,-3.08,2731.25,2008
2008-05,-3.08,2647.13,2008
2008-06,-3.08,2565.6,2008
2008-07,-3.08,2486.58,2008
2008-08,-3.08,2409.99,2008
2008-09,-3.08,2335.76,2008
2008-10,-3.08,2263.82,2008
2008-11,-3.08,2194.09,2008
2008-12,-3.08,2126.52,2008
2009-02,2.2,3066.0,2009
2009-03,2.2,3133.45,2009
2009-04,2.2,3202.39,2009
2009-05,2.2,3272.84,2009
2009-06,2.2,3344.84,2009
2009-07,2.2,3418.43,2009
2009-08,2.2,3493.63,2009
2009-09,2.2,3570.49,2009
2009-10,2.2,3649.05,2009
2009-11,2.2,3729.32,2009
2009-12,2.2,3811.37,2009
2010-02,1.25,3037.5,2010
2010-03,1.25,3075.47,2010
2010-04,1.25,3113.91,2010
2010-05,1.25,3152.84,2010
2010-06,1.25,3192.25,2010
2010-07,1.25,3232.15,2010
2010-08,1.25,3272.55,2010
2010-09,1.25,3313.46,2010
2010-10,1.25,3354.88,2010
2010-11,1.25,3396.81,2010
2010-12,1.25,3439.27,2010
2011-02,0.18,3005.4,2011
2011-03,0.18,3010.81,2011
2011-04,0.18,3016.23,2011
2011-05,0.18,3021.66,2011
2011-06,0.18,3027.1,2011
2011-07,0.18,3032.55,2011
2011-08,0.18,3038.0,2011
2011-09,0.18,3043.47,2011
2011-10,0.18,3048.95,2011
2011-11,0.18,3054.44,2011
2011-12,0.18,3059.94,2011
2012-02,1.33,3039.9,2012
2012-03,1.33,3080.33,2012
2012-04,1.33,3121.3,2012
2012-05,1.33,3162.81,2012
2012-06,1.33,3204.88,2012
2012-07,1.33,3247.5,2012
2012-08,1.33,3290.69,2012
2012-09,1.33,3334.46,2012
2012-10,1.33,3378.81,2012
2012-11,1.33,3423.75,2012
2012-12,1.33,3469.28,2012
2013-02,2.7,3081.0,2013
2013-03,2.7,3164.19,2013
2013-04,2.7,3249.62,2013
2013-05,2.7,3337.36,2013
2013-06,2.7,3427.47,2013
2013-07,2.7,3520.01,2013
2013-08,2.7,3615.05,2013
2013-09,2.7,3712.66,2013
2013-10,2.7,3812.9,2013
2013-11,2.7,3915.85,2013
2013-12,2.7,4021.57,2013
2014-02,1.14,3034.2,2014
2014-03,1.14,3068.79,2014
2014-04,1.14,3103.77,2014
2014-05,1.14,3139.16,2014
2014-06,1.14,3174.94,2014
2014-07,1.14,3211.14,2014
2014-08,1.14,3247.74,2014
2014-09,1.14,3284.77,2014
2014-10,1.14,3322.22,2014
2014-11,1.14,3360.09,2014
2014-12,1.14,3398.39,2014
2015-02,0.11,3003.3,2015
2015-03,0.11,3006.6,2015
2015-04,0.11,3009.91,2015
2015-05,0.11,3013.22,2015
2015-06,0.11,3016.54,2015
2015-07,0.11,3019.85,2015
2015-08,0.11,3023.18,2015
2015-09,0.11,3026.5,2015
2015-10,0.11,3029.83,2015
2015-11,0.11,3033.16,2015
2015-12,0.11,3036.5,2015
2016-02,1.0,3030.0,2016
2016-03,1.0,3060.3,2016
2016-04,1.0,3090.9,2016
2016-05,1.0,3121.81,2016
2016-06,1.0,3153.03,2016
2016-07,1.0,3184.56,2016
2016-08,1.0,3216.41,2016
2016-09,1.0,3248.57,2016
2016-10,1.0,3281.06,2016
2016-11,1.0,3313.87,2016
2016-12,1.0,3347.01,2016
2017-01,1.82,3054.6,2017
2017-02,1.82,3110.19,2017
2017-03,1.82,3166.8,2017
2017-04,1.82,3224.43,2017
2017-05,1.82,3283.12,2017
2017-06,1.82,3342.87,2017
2017-07,1.82,3403.71,2017
2017-08,1.82,3465.66,2017
2017-09,1.82,3528.74,2017
2017-10,1.82,3592.96,2017
2017-11,1.82,3658.35,2017
2017-12,1.82,3724.93,2017
2018-02,-0.36,2989.2,2018
2018-03,-0.36,2978.44,2018
2018-04,-0.36,2967.72,2018
2018-05,-0.36,2957.03,2018
2018-06,-0.36,2946.39,2018
2018-07,-0.36,2935.78,2018
2018-08,-0.36,2925.21,2018
2018-09,-0.36,2914.68,2018
2018-10,-0.36,2904.19,2018
2018-11,-0.36,2893.73,2018
2018-12,-0.36,2883.32,2018
2019-02,2.62,3078.6,2019
2019-03,2.62,3159.26,2019
2019-04,2.62,3242.03,2019
2019-05,2.62,3326.97,2019
2019-06,2.62,3414.14,2019
2019-07,2.62,3503.59,2019
2019-08,2.62,3595.38,2019
2019-09,2.62,3689.58,2019
2019-10,2.62,3786.25,2019
2019-11,2.62,3885.45,2019
2019-12,2.62,3987.25,2019
2020-02,1.53,3045.9,2020
2020-03,1.53,3092.5,2020
2020-04,1.53,3139.82,2020
2020-05,1.53,3187.86,2020
2020-06,1.53,3236.63,2020
2020-07,1.53,3286.15,2020
2020-08,1.53,3336.43,2020
2020-09,1.53,3387.48,2020
2020-10,1.53,3439.31,2020
2020-11,1.53,3491.93,2020
2020-12,1.53,3545.35,2020
2021-02,2.39,3071.7,2021
2021-03,2.39,3145.11,2021
2021-04,2.39,3220.28,2021
2021-05,2.39,3297.25,2021
2021-06,2.39,3376.05,2021
2021-07,2.39,3456.74,2021
2021-08,2.39,3539.35,2021
2021-09,2.39,3623.95,2021
2021-10,2.39,3710.56,2021
2021-11,2.39,3799.24,2021
2021-12,2.39,3890.04,2021
2022-02,-1.51,2954.7,2022
2022-03,-1.51,2910.08,2022
2022-04,-1.51,2866.14,2022
2022-05,-1.51,2822.86,2022
2022-06,-1.51,2780.24,2022
2022-07,-1.51,2738.26,2022
2022-08,-1.51,2696.91,2022
2022-09,-1.51,2656.19,2022
2022-10,-1.51,2616.08,2022
2022-11,-1.51,2576.57,2022
2022-12,-1.51,2537.67,2022
2023-02,2.19,3065.7,2023
2023-03,2.19,3132.84,2023
2023-04,2.19,3201.45,2023
2023-05,2.19,3271.56,2023
2023-06,2.19,3343.21,2023
2023-07,2.19,3416.42,2023
2023-08,2.19,3491.24,2023
2023-09,2.19,3567.7,2023
2023-10,2.19,3645.83,2023
2023-11,2.19,3725.68,2023
2023-12,2.19,3807.27,2023
2024-02,2.08,3062.4,2024
2024-03,2.08,3126.1,2024
2024-04,2.08,3191.12,2024
2024-05,2.08,3257.5,2024
2024-06,2.08,3325.25,2024
2024-07,2.08,3394.42,2024
2024-08,2.08,3465.02,2024
2024-09,2.08,3537.09,2024
2024-10,2.08,3610.67,2024
2024-11,2.08,3685.77,2024
2024-12,2.08,3762.43,2024
2025-02,1.49,3044.7,2025
2025-03,1.49,3090.07,2025
2025-04,1.49,3136.11,2025
2025-05,1.49,3182.84,2025
2025-06,1.49,3230.26,2025
2025-07,1.49,3278.39,2025
2025-08,1.49,3327.24,2025
2025-09,1.49,3376.82,2025
2025-10,1.49,3427.13,2025
